,index,date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
95,5641,2019-01-08,6508,6282,FRANCE,94.0,4,80.78
96,5642,2019-01-08,6269,1295,FRANCE,92.0,9,71.28000000000002
97,5643,2019-01-08,6119,5918,FRANCE,52.0,20,51.42
98,5644,2019-01-08,6505,6280,FRANCE,62.0,11,36.41
99,5645,2019-01-08,6038,5840,FRANCE,95.0,7,37.31
100,5646,2019-01-08,6185,5771,FRANCE,33.0,2,12.28
101,5647,2019-01-08,6297,263,FRANCE,75.0,16,28.28
102,5648,2019-01-08,6231,6027,FRANCE,92.0,14,119.44
103,5649,2019-01-08,6436,6214,FRANCE,33.0,20,64.75
104,5650,2019-01-08,6201,5997,FRANCE,52.0,11,69.66
105,5651,2019-01-08,6511,6285,FRANCE,9.0,9,60.21000000000001
106,5652,2019-01-08,6068,747,FRANCE,55.0,8,81.0
107,5653,2019-01-08,6243,6038,FRANCE,91.0,13,67.67
108,5654,2019-01-08,6010,5814,FRANCE,69.0,6,74.05
109,5655,2019-01-08,6315,6101,FRANCE,72.0,44,139.31
110,5656,2019-01-08,5991,5796,FRANCE,75.0,2,15.4
111,5657,2019-01-08,6204,6000,FRANCE,78.0,7,44.58
112,5658,2019-01-08,6007,5811,FRANCE,92.0,46,137.8
113,5659,2019-01-08,6106,5906,FRANCE,13.0,7,35.72
114,5660,2019-01-08,6021,5824,FRANCE,38.0,9,115.91
115,5661,2019-01-08,6189,5986,FRANCE,75.0,17,84.18
116,5662,2019-01-08,6208,6004,FRANCE,77.0,35,189.24
117,5663,2019-01-08,5872,5688,FRANCE,13.0,10,46.41
118,5664,2019-01-08,6071,5872,FRANCE,94.0,5,23.14
119,5665,2019-01-08,5958,5766,FRANCE,22.0,6,66.72
120,5666,2019-01-08,6210,6006,FRANCE,57.0,25,128.7
121,5667,2019-01-08,6030,5832,FRANCE,14.0,6,41.16
122,5668,2019-01-08,5996,5800,FRANCE,34.0,8,78.36
123,5669,2019-01-08,6155,5953,FRANCE,31.0,12,49.73
124,5670,2019-01-08,5833,5650,FRANCE,92.0,8,79.67
125,5671,2019-01-08,6445,5827,FRANCE,13.0,39,155.49000000000004
126,5672,2019-01-08,6398,6177,FRANCE,7.0,8,75.89999999999999
127,5673,2019-01-08,5840,5657,FRANCE,83.0,11,69.05999999999999
128,5674,2019-01-08,6073,5874,FRANCE,38.0,6,43.54
129,5675,2019-01-08,5856,5672,FRANCE,75.0,11,39.84
130,5676,2019-01-08,5910,5723,FRANCE,25.0,11,71.71000000000001
131,5677,2019-01-08,5819,5636,FRANCE,74.0,25,76.13
132,5678,2019-01-08,5857,5673,FRANCE,42.0,4,74.55
133,5679,2019-01-08,6220,6016,FRANCE,39.0,8,62.09
134,5680,2019-01-08,6090,5891,FRANCE,37.0,13,44.78
135,5681,2019-01-08,6471,6248,FRANCE,13.0,6,78.05
136,5682,2019-01-08,6338,6088,FRANCE,56.0,20,67.78
137,5683,2019-01-08,5810,5628,FRANCE,57.0,11,63.190000000000005
138,5684,2019-01-08,5945,5753,FRANCE,37.0,11,70.44999999999999
139,5685,2019-01-08,6498,6273,FRANCE,84.0,16,72.07
140,5686,2019-01-08,6293,1549,FRANCE,33.0,1,64.81
141,5687,2019-01-08,6392,6171,FRANCE,93.0,29,82.16999999999999
142,5688,2019-01-08,6345,6127,FRANCE,26.0,12,33.21
143,5689,2019-01-08,5992,5797,FRANCE,69.0,14,67.25
144,5690,2019-01-08,6349,6131,FRANCE,6.0,6,24.87
145,5691,2019-01-08,5853,5669,FRANCE,68.0,2,44.98
146,5692,2019-01-08,5875,322,FRANCE,33.0,7,65.7
147,5693,2019-01-08,6437,6215,FRANCE,27.0,5,99.08
148,5694,2019-01-08,6076,5877,FRANCE,93.0,39,98.48
149,5695,2019-01-08,6365,6146,FRANCE,31.0,1,8.2
150,5696,2019-01-08,6029,5830,FRANCE,92.0,14,91.4
151,5697,2019-01-08,6361,6142,FRANCE,75.0,3,20.19
152,5698,2019-01-08,6135,5933,FRANCE,38.0,4,64.23
153,5699,2019-01-08,6247,6040,FRANCE,17.0,9,67.59
154,5700,2019-01-08,6273,6062,FRANCE,1.0,5,27.65
155,5701,2019-01-08,5915,5728,FRANCE,62.0,40,139.39
156,5702,2019-01-08,6176,5974,FRANCE,88.0,12,68.44
157,5703,2019-01-08,6025,5828,FRANCE,78.0,14,54.81
158,5704,2019-01-08,6246,6039,FRANCE,92.0,1,9.42
159,5705,2019-01-08,6104,5904,FRANCE,76.0,12,98.36
160,5706,2019-01-08,6158,5956,FRANCE,13.0,13,70.63
161,5707,2019-01-08,6407,6185,FRANCE,49.0,15,37.74000000000001
162,5708,2019-01-08,5821,5638,FRANCE,79.0,8,41.43
163,5709,2019-01-08,6400,6179,FRANCE,75.0,3,20.11
164,5710,2019-01-08,5921,5734,FRANCE,74.0,3,77.21
165,5711,2019-01-08,6492,6267,FRANCE,1.0,20,79.26
166,5712,2019-01-08,6141,5939,FRANCE,15.0,16,83.26
167,5713,2019-01-08,6123,5922,FRANCE,59.0,13,62.33
168,5714,2019-01-08,6504,6279,FRANCE,95.0,5,24.020000000000003
169,5715,2019-01-08,6024,5827,FRANCE,13.0,36,180.46
170,5716,2019-01-08,6121,5920,FRANCE,54.0,4,9.69
171,5717,2019-01-08,6003,5807,FRANCE,38.0,6,70.23
172,5718,2019-01-08,6180,5978,FRANCE,34.0,39,80.78
173,5719,2019-01-08,6127,5926,FRANCE,12.0,11,66.11
174,5720,2019-01-08,5923,5736,FRANCE,19.0,20,150.01
175,5721,2019-01-08,6341,962,FRANCE,83.0,70,133.57999999999998
176,5722,2019-01-08,6174,5972,FRANCE,59.0,20,67.93
177,5723,2019-01-08,6383,6164,FRANCE,25.0,7,66.91
178,5724,2019-01-08,5954,5762,FRANCE,60.0,6,64.16
179,5725,2019-01-08,6009,5813,FRANCE,93.0,29,76.95
180,5726,2019-01-08,5979,5784,FRANCE,63.0,16,77.08999999999999
181,5727,2019-01-08,6378,6159,FRANCE,83.0,4,62.86
182,5728,2019-01-08,6000,5804,FRANCE,34.0,1,15.72
183,5729,2019-01-08,5924,5737,FRANCE,25.0,1,31.67
184,5730,2019-01-08,6318,6104,FRANCE,44.0,24,69.52
185,5731,2019-01-08,5964,5771,FRANCE,33.0,1,5.55
186,5732,2019-01-08,6259,6050,FRANCE,91.0,17,57.88999999999999
187,5733,2019-01-08,5995,5799,FRANCE,83.0,54,251.23
188,5734,2019-01-08,5841,5658,FRANCE,95.0,18,70.21
189,5735,2019-01-08,5852,5668,FRANCE,51.0,12,90.59
190,5736,2019-01-08,5850,2519,FRANCE,56.0,20,84.55
191,5737,2019-01-08,6033,5835,FRANCE,49.0,3,128.04
192,5738,2019-01-08,6520,6294,FRANCE,88.0,10,38.96
193,5739,2019-01-08,6053,5855,FRANCE,74.0,16,138.46
194,5740,2019-01-08,6124,5923,FRANCE,43.0,39,197.96
195,5741,2019-01-08,6310,6096,FRANCE,26.0,6,24.04
196,5742,2019-01-08,6414,6192,FRANCE,37.0,3,23.89
197,5743,2019-01-08,6501,6276,FRANCE,3.0,12,64.53999999999999
198,5744,2019-01-08,6274,6063,FRANCE,34.0,20,60.47
199,5745,2019-01-08,6234,6030,FRANCE,91.0,9,29.62
200,5746,2019-01-08,5947,5755,FRANCE,78.0,20,70.67999999999999
201,5747,2019-01-08,5935,5682,FRANCE,93.0,6,133.6
202,5748,2019-01-08,6218,6014,FRANCE,91.0,7,71.17
203,5749,2019-01-08,5814,5632,FRANCE,34.0,13,132.55
204,5750,2019-01-08,6316,6102,FRANCE,86.0,14,63.81999999999999
205,5751,2019-01-08,5916,5729,FRANCE,12.0,2,14.1
206,5752,2019-01-08,6186,5983,FRANCE,72.0,3,94.5
207,5753,2019-01-08,6296,6083,FRANCE,34.0,5,19.83
208,5754,2019-01-08,6001,5805,FRANCE,6.0,4,31.81
209,5755,2019-01-08,6192,5989,FRANCE,34.0,6,44.64
210,5756,2019-01-08,6502,6277,FRANCE,29.0,10,33.28999999999999
211,5757,2019-01-08,5889,5703,FRANCE,74.0,1,58.06
212,5758,2019-01-08,5961,5769,FRANCE,4.0,9,49.650000000000006
213,5759,2019-01-08,6089,5890,FRANCE,69.0,6,78.05
214,5760,2019-01-08,6353,6135,FRANCE,69.0,11,38.42
215,5761,2019-01-08,5939,5748,FRANCE,40.0,35,118.58
216,5762,2019-01-08,5835,5652,FRANCE,77.0,7,97.99
217,5763,2019-01-08,6370,6151,FRANCE,94.0,8,70.78
218,5764,2019-01-08,6284,6072,FRANCE,63.0,2,75.07000000000001
219,5765,2019-01-08,5887,5701,FRANCE,74.0,15,77.31
220,5766,2019-01-08,6043,5845,FRANCE,67.0,10,48.54
221,5767,2019-01-08,6085,5886,FRANCE,92.0,5,120.37
222,5768,2019-01-08,5837,5654,FRANCE,84.0,67,192.68
223,5769,2019-01-08,6242,6037,FRANCE,16.0,11,44.39
224,5770,2019-01-08,6509,6283,FRANCE,13.0,19,86.83
225,5771,2019-01-08,6480,6255,FRANCE,6.0,15,82.4
226,5772,2019-01-08,6144,5942,FRANCE,13.0,7,37.09
227,5773,2019-01-08,5848,5665,FRANCE,75.0,24,74.71000000000001
228,5774,2019-01-08,6015,5818,FRANCE,54.0,8,64.33
229,5775,2019-01-08,6248,6041,FRANCE,71.0,1,17.7
230,5776,2019-01-08,6447,6224,FRANCE,6.0,17,81.13
231,5777,2019-01-08,5891,5705,FRANCE,98.0,39,84.57
232,5778,2019-01-08,6286,6074,FRANCE,59.0,1,55.71
233,5779,2019-01-08,6303,6089,FRANCE,26.0,14,97.64
234,5780,2019-01-08,6190,5987,FRANCE,93.0,12,176.6
235,5781,2019-01-08,5965,5772,FRANCE,35.0,4,34.57
236,5782,2019-01-08,6251,6044,FRANCE,33.0,19,87.96
237,5783,2019-01-08,6506,519,FRANCE,34.0,19,64.66
238,5784,2019-01-08,6181,5979,FRANCE,34.0,9,65.73
239,5785,2019-01-08,6472,3537,FRANCE,74.0,22,103.51
240,5786,2019-01-08,6421,6199,FRANCE,75.0,5,13.31
241,5787,2019-01-08,6346,6128,FRANCE,93.0,37,127.28
242,5788,2019-01-08,6393,6172,FRANCE,94.0,24,75.95
243,5789,2019-01-08,6245,3427,FRANCE,69.0,12,149.53
244,5790,2019-01-08,6479,6254,FRANCE,39.0,11,69.65
245,5791,2019-01-08,5977,5782,FRANCE,75.0,8,127.58
246,5792,2019-01-08,6107,5907,FRANCE,75.0,5,36.86
247,5793,2019-01-08,5838,5655,FRANCE,36.0,19,83.71000000000001
248,5794,2019-01-08,5940,5682,FRANCE,93.0,9,154.74
249,5795,2019-01-08,6191,5988,FRANCE,77.0,2,53.2
250,5796,2019-01-08,6490,6265,FRANCE,29.0,14,95.82
251,5797,2019-01-08,6325,6111,FRANCE,73.0,17,66.8
252,5798,2019-01-08,5851,5667,FRANCE,74.0,1,15.46
253,5799,2019-01-08,6117,5916,FRANCE,75.0,17,75.05000000000001
254,5800,2019-01-08,6160,5958,FRANCE,91.0,15,51.45
255,5801,2019-01-08,5909,5722,FRANCE,34.0,12,56.88
256,5802,2019-01-08,6148,5946,FRANCE,91.0,13,153.12
257,5803,2019-01-08,6177,5975,FRANCE,72.0,7,76.89
258,5804,2019-01-08,6281,5340,FRANCE,93.0,30,691.21
259,5805,2019-01-08,5908,5721,FRANCE,83.0,11,88.71000000000001
260,5806,2019-01-08,6205,6001,FRANCE,95.0,12,112.17
261,5807,2019-01-08,6226,6022,FRANCE,50.0,6,36.49
262,5808,2019-01-08,5989,5794,FRANCE,57.0,10,94.82
263,5809,2019-01-08,6477,6252,FRANCE,91.0,24,96.8
264,5810,2019-01-08,6058,5860,FRANCE,93.0,12,74.36
265,5811,2019-01-08,6371,6152,FRANCE,73.0,24,90.16
266,5812,2019-01-08,6101,5901,FRANCE,77.0,11,97.88
267,5813,2019-01-08,6300,6086,FRANCE,76.0,17,121.53
268,5814,2019-01-08,6036,5838,FRANCE,82.0,38,161.37000000000003
269,5815,2019-01-08,6232,6028,FRANCE,73.0,5,21.43
270,5816,2019-01-08,6397,6176,FRANCE,77.0,22,90.38
271,5817,2019-01-08,6460,6237,FRANCE,73.0,17,163.34
272,5818,2019-01-08,6019,5822,FRANCE,91.0,6,78.05
273,5819,2019-01-08,6179,5977,FRANCE,34.0,8,101.85
274,5820,2019-01-08,6428,6206,FRANCE,63.0,16,65.91
275,5821,2019-01-08,6257,6048,FRANCE,95.0,15,130.63
276,5822,2019-01-08,6482,6257,FRANCE,92.0,41,155.48999999999998
277,5823,2019-01-08,6250,6043,FRANCE,92.0,24,91.8
278,5824,2019-01-08,6314,6100,FRANCE,31.0,20,83.0
279,5825,2019-01-08,6206,6002,FRANCE,44.0,48,113.11
280,5826,2019-01-08,6265,6056,FRANCE,93.0,7,37.96
281,5827,2019-01-08,5818,5635,FRANCE,57.0,24,113.82999999999998
282,5828,2019-01-08,5925,5705,FRANCE,98.0,39,84.57
283,5829,2019-01-08,6195,5992,FRANCE,34.0,9,146.47
284,5830,2019-01-08,6487,6262,FRANCE,74.0,5,22.59
285,5831,2019-01-08,5811,5629,FRANCE,77.0,11,88.97999999999999
286,5832,2019-01-08,6301,6087,FRANCE,59.0,6,11.67
287,5833,2019-01-08,6145,5943,FRANCE,83.0,2,13.72
288,5834,2019-01-08,5820,5637,FRANCE,63.0,12,102.59
289,5835,2019-01-08,5971,5777,FRANCE,94.0,12,62.53
290,5836,2019-01-08,6157,5955,FRANCE,17.0,19,84.01
291,5837,2019-01-08,5839,5656,FRANCE,75.0,10,36.92
292,5838,2019-01-08,6266,6057,FRANCE,91.0,17,68.17
293,5839,2019-01-08,6069,5870,FRANCE,94.0,4,45.27
294,5840,2019-01-08,6258,6049,FRANCE,75.0,13,97.72
295,5841,2019-01-08,5861,5677,FRANCE,75.0,11,64.03
296,5842,2019-01-08,6014,5817,FRANCE,74.0,24,89.25
297,5843,2019-01-08,6095,5895,FRANCE,44.0,7,65.21
298,5844,2019-01-08,6018,5821,FRANCE,29.0,6,77.49
299,5845,2019-01-08,6138,5936,FRANCE,69.0,7,61.0
300,5846,2019-01-08,6512,6286,FRANCE,56.0,8,83.44999999999999
301,5847,2019-01-08,6381,6162,FRANCE,69.0,1,18.02
302,5848,2019-01-08,6055,5857,FRANCE,33.0,33,101.23
303,5849,2019-01-08,6162,5960,FRANCE,54.0,6,87.49000000000001
304,5850,2019-01-08,6170,5968,FRANCE,44.0,4,16.95
305,5851,2019-01-08,6358,143,FRANCE,75.0,6,110.59
306,5852,2019-01-08,6163,5961,FRANCE,84.0,15,59.68999999999999
307,5853,2019-01-08,5970,5776,FRANCE,21.0,4,20.4
308,5854,2019-01-08,5919,5732,FRANCE,22.0,6,70.23
309,5855,2019-01-08,5917,5730,FRANCE,73.0,10,64.0
310,5856,2019-01-08,6080,5881,FRANCE,60.0,8,87.44
311,5857,2019-01-08,6146,5944,FRANCE,33.0,7,82.26
312,5858,2019-01-08,6118,5917,FRANCE,75.0,5,15.52
313,5859,2019-01-08,5836,5653,FRANCE,34.0,19,130.44
314,5860,2019-01-08,6340,6123,FRANCE,69.0,17,72.95
315,5861,2019-01-08,5911,5724,FRANCE,1.0,17,91.57
316,5862,2019-01-08,6308,6094,FRANCE,38.0,4,34.92
317,5863,2019-01-08,6086,5887,FRANCE,78.0,6,37.71
318,5864,2019-01-08,6322,6108,FRANCE,13.0,12,39.98
319,5865,2019-01-08,6102,5902,FRANCE,42.0,17,82.03000000000002
320,5866,2019-01-08,6028,5831,FRANCE,17.0,37,75.55
321,5867,2019-01-08,6453,6230,FRANCE,38.0,14,43.74
322,5868,2019-01-08,6449,6226,FRANCE,92.0,33,100.27
323,5869,2019-01-08,6057,5859,FRANCE,45.0,19,108.88
324,5870,2019-01-08,6386,6165,FRANCE,62.0,19,66.65
325,5871,2019-01-08,5894,5707,FRANCE,91.0,12,106.18
326,5872,2019-01-08,6172,5970,FRANCE,63.0,14,65.50999999999999
327,5873,2019-01-08,6448,6225,FRANCE,93.0,23,53.39
328,5874,2019-01-08,6184,5982,FRANCE,74.0,19,71.76
329,5875,2019-01-08,5953,5761,FRANCE,26.0,23,175.51000000000002
330,5876,2019-01-08,6061,5863,FRANCE,29.0,10,97.55
331,5877,2019-01-08,5997,5801,FRANCE,13.0,49,69.59
332,5878,2019-01-08,6222,6018,FRANCE,45.0,7,72.11999999999999
333,5879,2019-01-08,6271,6060,FRANCE,2.0,12,48.03999999999999
334,5880,2019-01-08,6343,6125,FRANCE,67.0,32,167.54
335,5881,2019-01-08,6037,5839,FRANCE,59.0,7,57.56
336,5882,2019-01-08,5941,5749,FRANCE,71.0,32,99.58
337,5883,2019-01-08,6355,6137,FRANCE,24.0,23,107.83
338,5884,2019-01-08,6164,5962,FRANCE,20.0,6,35.15
339,5885,2019-01-08,6150,5948,FRANCE,13.0,23,160.56
340,5886,2019-01-08,6244,3427,FRANCE,69.0,12,149.53
341,5887,2019-01-08,6465,6242,FRANCE,38.0,15,113.29
342,5888,2019-01-08,6252,6045,FRANCE,59.0,34,106.35
343,5889,2019-01-08,6309,6095,FRANCE,34.0,23,58.33
344,5890,2019-01-08,6099,5899,FRANCE,38.0,19,72.43
345,5891,2019-01-08,6182,5980,FRANCE,68.0,70,234.73
346,5892,2019-01-08,5943,5751,FRANCE,13.0,19,79.75000000000001
347,5893,2019-01-08,6270,6059,FRANCE,75.0,14,81.57000000000001
348,5894,2019-01-08,5828,5645,FRANCE,91.0,12,56.88
349,5895,2019-01-08,6412,6190,FRANCE,82.0,3,28.34
350,5896,2019-01-08,6467,6244,FRANCE,85.0,9,89.32
351,5897,2019-01-08,6161,5959,FRANCE,59.0,10,102.97
352,5898,2019-01-08,6110,5909,FRANCE,59.0,5,31.690000000000005
353,5899,2019-01-08,6120,5919,FRANCE,44.0,9,140.35
354,5900,2019-01-08,5884,5698,FRANCE,77.0,2,68.25
355,5901,2019-01-08,5834,5651,FRANCE,94.0,4,24.96
356,5902,2019-01-08,6459,6236,FRANCE,83.0,14,35.88
357,5903,2019-01-08,5869,5685,FRANCE,13.0,1,35.42
358,5904,2019-01-08,5980,5785,FRANCE,30.0,19,56.64999999999999
359,5905,2019-01-08,6103,5903,FRANCE,81.0,35,96.95
360,5906,2019-01-08,6422,6200,FRANCE,75.0,12,125.26
361,5907,2019-01-08,6321,6107,FRANCE,85.0,8,77.52000000000001
362,5908,2019-01-08,6279,6068,FRANCE,31.0,10,80.39999999999999
363,5909,2019-01-08,5976,5781,FRANCE,93.0,48,401.43
364,5910,2019-01-08,5929,5741,FRANCE,94.0,2,9.01
365,5911,2019-01-08,5897,5710,FRANCE,74.0,12,71.95
366,5912,2019-01-08,6207,6003,FRANCE,34.0,8,59.14
367,5913,2019-01-08,6344,6126,FRANCE,93.0,9,68.42999999999999
368,5914,2019-01-08,5907,5720,FRANCE,77.0,1,15.04
369,5915,2019-01-08,5885,5699,FRANCE,33.0,14,73.42
370,5916,2019-01-08,6108,5908,FRANCE,87.0,8,20.03
371,5917,2019-01-08,6369,6150,FRANCE,67.0,28,90.77
372,5918,2019-01-08,6461,6238,FRANCE,94.0,9,69.41
373,5919,2019-01-08,5963,5770,FRANCE,91.0,1,112.0
374,5920,2019-01-08,6056,5858,FRANCE,2.0,3,14.32
375,5921,2019-01-08,6114,5913,FRANCE,86.0,12,73.23
376,5922,2019-01-08,5999,5803,FRANCE,54.0,15,92.63
377,5923,2019-01-08,6388,6167,FRANCE,78.0,31,142.94
378,5924,2019-01-08,6199,5995,FRANCE,75.0,1,35.48
379,5925,2019-01-08,6521,6295,FRANCE,75.0,17,90.47
380,5926,2019-01-08,6416,6194,FRANCE,42.0,12,130.77
381,5927,2019-01-08,5846,5663,FRANCE,92.0,31,136.11999999999998
382,5928,2019-01-08,5983,5788,FRANCE,79.0,7,65.97999999999999
383,5929,2019-01-08,6282,6070,FRANCE,91.0,31,78.48
384,5930,2019-01-08,5867,5683,FRANCE,81.0,31,83.38
385,5931,2019-01-08,6048,5850,FRANCE,13.0,5,64.77
386,5932,2019-01-08,6514,6288,FRANCE,75.0,6,88.94
387,5933,2019-01-08,6364,6145,FRANCE,47.0,10,77.65
388,5934,2019-01-08,6097,5897,FRANCE,38.0,2,36.48
389,5935,2019-01-08,6267,6058,FRANCE,31.0,9,180.96
390,5936,2019-01-08,6142,5940,FRANCE,68.0,4,38.84
391,5937,2019-01-08,6070,5871,FRANCE,60.0,12,76.14
392,5938,2019-01-08,6105,5905,FRANCE,78.0,19,101.53
393,5939,2019-01-08,5866,5682,FRANCE,93.0,12,185.35
394,5940,2019-01-08,6429,6207,FRANCE,75.0,23,178.44
395,5941,2019-01-08,6065,5867,FRANCE,60.0,17,58.120000000000005
396,5942,2019-01-08,6224,6020,FRANCE,75.0,14,63.25
397,5943,2019-01-08,6374,6155,FRANCE,31.0,7,37.33
398,5944,2019-01-08,6298,6084,FRANCE,9.0,5,78.25999999999999
399,5945,2019-01-08,6215,6011,FRANCE,1.0,4,10.6
400,5946,2019-01-08,6350,6132,FRANCE,39.0,17,86.05000000000001
